ProcessID=338 : Parent_ProcessID=2 : Average_Running_Time=.00972876322471434617
ProcessID=34 : Parent_ProcessID=2 : Average_Running_Time=.00221200000000000000
ProcessID=35 : Parent_ProcessID=2 : Average_Running_Time=.21372618181818181818
ProcessID=36 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=37 : Parent_ProcessID=2 : Average_Running_Time=.21906705578800557880
ProcessID=38 : Parent_ProcessID=2 : Average_Running_Time=.01474053617969821673
ProcessID=40 : Parent_ProcessID=2 : Average_Running_Time=.00194366666666666666
ProcessID=407 : Parent_ProcessID=2 : Average_Running_Time=.01839650000000000000
ProcessID=41 : Parent_ProcessID=2 : Average_Running_Time=.11953527272727272727
ProcessID=414 : Parent_ProcessID=2 : Average_Running_Time=.03708050000000000000
ProcessID=415 : Parent_ProcessID=2 : Average_Running_Time=.01735350000000000000
ProcessID=416 : Parent_ProcessID=2 : Average_Running_Time=.02606063401796441444
ProcessID=419 : Parent_ProcessID=2 : Average_Running_Time=.04032100000000000000
ProcessID=4 : Parent_ProcessID=2 : Average_Running_Time=.00052900000000000000
ProcessID=42 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=422 : Parent_ProcessID=2 : Average_Running_Time=.00858298035160289555
ProcessID=43 : Parent_ProcessID=2 : Average_Running_Time=.21507935213204951856
ProcessID=44 : Parent_ProcessID=2 : Average_Running_Time=.01571283180797789673
ProcessID=46 : Parent_ProcessID=2 : Average_Running_Time=.00488520000000000000
ProcessID=47 : Parent_ProcessID=2 : Average_Running_Time=.08391168181818181818
ProcessID=474 : Parent_ProcessID=2 : Average_Running_Time=.05428550897597977243
ProcessID=475 : Parent_ProcessID=2 : Average_Running_Time=.00202700000000000000
ProcessID=476 : Parent_ProcessID=2 : Average_Running_Time=.09765920166995245274
ProcessID=48 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=49 : Parent_ProcessID=2 : Average_Running_Time=.21599740532959326788
ProcessID=4998 : Parent_ProcessID=2 : Average_Running_Time=.03642808259555171669
ProcessID=50 : Parent_ProcessID=2 : Average_Running_Time=.01282741308114351718
ProcessID=5057 : Parent_ProcessID=2 : Average_Running_Time=.05982581114764746478
ProcessID=5141 : Parent_ProcessID=2 : Average_Running_Time=.02577358356545961002
ProcessID=52 : Parent_ProcessID=2 : Average_Running_Time=.00292480000000000000
ProcessID=53 : Parent_ProcessID=2 : Average_Running_Time=.13712877272727272727
ProcessID=54 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=5466 : Parent_ProcessID=2 : Average_Running_Time=.03286199281832298136
ProcessID=5522 : Parent_ProcessID=2 : Average_Running_Time=.02528256140350877192
ProcessID=55 : Parent_ProcessID=2 : Average_Running_Time=.22423384397163120567
ProcessID=5523 : Parent_ProcessID=2 : Average_Running_Time=.14455348973409626388
ProcessID=5534 : Parent_ProcessID=2 : Average_Running_Time=.18359870256916996047
ProcessID=5536 : Parent_ProcessID=2 : Average_Running_Time=.10822562852581160191
ProcessID=5541 : Parent_ProcessID=2 : Average_Running_Time=.07404291785150078988
ProcessID=5547 : Parent_ProcessID=2 : Average_Running_Time=.12815277252800779347
ProcessID=5549 : Parent_ProcessID=2 : Average_Running_Time=.12151843170838823012
ProcessID=5551 : Parent_ProcessID=2 : Average_Running_Time=.10201759533073929961
ProcessID=5591 : Parent_ProcessID=2 : Average_Running_Time=.06959211111111111111
ProcessID=5599 : Parent_ProcessID=2 : Average_Running_Time=.02524287413352790952
ProcessID=56 : Parent_ProcessID=2 : Average_Running_Time=.01622355900202292650
ProcessID=5710 : Parent_ProcessID=2 : Average_Running_Time=.05255322303664921465
ProcessID=5718 : Parent_ProcessID=2 : Average_Running_Time=.02617459953161592505
ProcessID=58 : Parent_ProcessID=2 : Average_Running_Time=.00655260000000000000
ProcessID=5852 : Parent_ProcessID=2 : Average_Running_Time=.01002263118664281454
ProcessID=59 : Parent_ProcessID=2 : Average_Running_Time=.01197005970149253731
ProcessID=60 : Parent_ProcessID=2 : Average_Running_Time=.00053300000000000000
ProcessID=602 : Parent_ProcessID=2 : Average_Running_Time=.00974222619047619047
ProcessID=609 : Parent_ProcessID=2 : Average_Running_Time=.01044889873417721518
ProcessID=610 : Parent_ProcessID=2 : Average_Running_Time=.01413360692307692307
ProcessID=611 : Parent_ProcessID=2 : Average_Running_Time=.01084428571428571428
ProcessID=61 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=612 : Parent_ProcessID=2 : Average_Running_Time=.01457617808219178082
ProcessID=6 : Parent_ProcessID=2 : Average_Running_Time=.00489425000000000000
ProcessID=620 : Parent_ProcessID=2 : Average_Running_Time=.00828439240506329113
ProcessID=62 : Parent_ProcessID=2 : Average_Running_Time=.06878906250000000000
ProcessID=626 : Parent_ProcessID=2 : Average_Running_Time=.00524300000000000000
ProcessID=630 : Parent_ProcessID=2 : Average_Running_Time=.02381963486842105263
ProcessID=63 : Parent_ProcessID=2 : Average_Running_Time=.21092790476190476190
ProcessID=634 : Parent_ProcessID=2 : Average_Running_Time=.02956233562870128081
ProcessID=635 : Parent_ProcessID=2 : Average_Running_Time=.05741046557719054242
ProcessID=636 : Parent_ProcessID=2 : Average_Running_Time=.08157278658536585365
ProcessID=637 : Parent_ProcessID=2 : Average_Running_Time=.05922117053103964098
ProcessID=638 : Parent_ProcessID=2 : Average_Running_Time=.07320253974895397489
ProcessID=639 : Parent_ProcessID=2 : Average_Running_Time=.06841322843190450352
ProcessID=640 : Parent_ProcessID=2 : Average_Running_Time=.05538672894550601556
ProcessID=641 : Parent_ProcessID=2 : Average_Running_Time=.06660548228488792480
ProcessID=64 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=642 : Parent_ProcessID=2 : Average_Running_Time=.06389684097859327217
ProcessID=644 : Parent_ProcessID=2 : Average_Running_Time=.21713245454545454545
ProcessID=645 : Parent_ProcessID=2 : Average_Running_Time=.00754866176470588235
ProcessID=65 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=6578 : Parent_ProcessID=2 : Average_Running_Time=.00707150000000000000
ProcessID=6579 : Parent_ProcessID=2 : Average_Running_Time=.01821810526315789473
ProcessID=6604 : Parent_ProcessID=2 : Average_Running_Time=.06381808333333333333
ProcessID=6614 : Parent_ProcessID=2 : Average_Running_Time=.01415800000000000000
ProcessID=66 : Parent_ProcessID=2 : Average_Running_Time=.02142274766355140186
ProcessID=662 : Parent_ProcessID=2 : Average_Running_Time=.01789950000000000000
ProcessID=663 : Parent_ProcessID=2 : Average_Running_Time=.05164256767381329326
ProcessID=666 : Parent_ProcessID=2 : Average_Running_Time=.01894828921568627450
ProcessID=67 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=672 : Parent_ProcessID=2 : Average_Running_Time=.00337200000000000000
ProcessID=673 : Parent_ProcessID=2 : Average_Running_Time=.00253900000000000000
ProcessID=68 : Parent_ProcessID=2 : Average_Running_Time=.04846847426470588235
ProcessID=690 : Parent_ProcessID=2 : Average_Running_Time=.00418750000000000000
ProcessID=692 : Parent_ProcessID=2 : Average_Running_Time=.00427750000000000000
ProcessID=719 : Parent_ProcessID=2 : Average_Running_Time=.16353632556357641265
ProcessID=721 : Parent_ProcessID=2 : Average_Running_Time=.10859471498424426817
ProcessID=798 : Parent_ProcessID=2 : Average_Running_Time=.00889816666666666666
ProcessID=799 : Parent_ProcessID=2 : Average_Running_Time=.01966083333333333333
ProcessID=800 : Parent_ProcessID=2 : Average_Running_Time=.00175050000000000000
ProcessID=842 : Parent_ProcessID=2 : Average_Running_Time=.00294250000000000000
ProcessID=843 : Parent_ProcessID=2 : Average_Running_Time=.00394650000000000000
ProcessID=844 : Parent_ProcessID=2 : Average_Running_Time=.00316050000000000000
ProcessID=845 : Parent_ProcessID=2 : Average_Running_Time=.00595233333333333333
ProcessID=9 : Parent_ProcessID=2 : Average_Running_Time=.00054250000000000000
ProcessID=1004 : Parent_ProcessID=960 : Average_Running_Time=.03860433333333333333
ProcessID=1158 : Parent_ProcessID=1131 : Average_Running_Time=.13514517391304347826
ProcessID=1199 : Parent_ProcessID=1158 : Average_Running_Time=.33758550000000000000
ProcessID=1164 : Parent_ProcessID=1163 : Average_Running_Time=.15496500000000000000
ProcessID=1180 : Parent_ProcessID=1163 : Average_Running_Time=.12771410576131687242
ProcessID=1182 : Parent_ProcessID=1163 : Average_Running_Time=.19395007213384530992
ProcessID=1202 : Parent_ProcessID=1163 : Average_Running_Time=.16455740879684845856
ProcessID=1214 : Parent_ProcessID=1163 : Average_Running_Time=.10673839002267573696
ProcessID=1222 : Parent_ProcessID=1163 : Average_Running_Time=.30732225000000000000
ProcessID=1233 : Parent_ProcessID=1163 : Average_Running_Time=.51700621621621621621
ProcessID=1253 : Parent_ProcessID=1163 : Average_Running_Time=.15313961666666666666
ProcessID=1259 : Parent_ProcessID=1163 : Average_Running_Time=.12199869965277777777
ProcessID=1293 : Parent_ProcessID=1163 : Average_Running_Time=.39987866666666666666
ProcessID=1303 : Parent_ProcessID=1163 : Average_Running_Time=.13232699047619047619
ProcessID=1308 : Parent_ProcessID=1163 : Average_Running_Time=.11874387850467289719
ProcessID=1319 : Parent_ProcessID=1163 : Average_Running_Time=.11396109009009009009
ProcessID=1442 : Parent_ProcessID=1163 : Average_Running_Time=.26231976923076923076
ProcessID=1477 : Parent_ProcessID=1163 : Average_Running_Time=.16533422448979591836
ProcessID=1488 : Parent_ProcessID=1163 : Average_Running_Time=.04021373453536754507
ProcessID=1496 : Parent_ProcessID=1163 : Average_Running_Time=.37738628571428571428
ProcessID=1502 : Parent_ProcessID=1163 : Average_Running_Time=.15839075266524520255
ProcessID=1516 : Parent_ProcessID=1163 : Average_Running_Time=.28682860101406710538
ProcessID=1547 : Parent_ProcessID=1163 : Average_Running_Time=.11137857752732240437
ProcessID=1551 : Parent_ProcessID=1163 : Average_Running_Time=.21316048058413541320
ProcessID=1564 : Parent_ProcessID=1163 : Average_Running_Time=.17235665454545454545
ProcessID=1566 : Parent_ProcessID=1163 : Average_Running_Time=.17397592098092643051
ProcessID=1575 : Parent_ProcessID=1163 : Average_Running_Time=.16260051242829827915
ProcessID=1583 : Parent_ProcessID=1163 : Average_Running_Time=.56973018390804597701
ProcessID=1586 : Parent_ProcessID=1163 : Average_Running_Time=.15286947083333333333
ProcessID=1594 : Parent_ProcessID=1163 : Average_Running_Time=.11879165318818040435
ProcessID=1615 : Parent_ProcessID=1163 : Average_Running_Time=.09549944743276283618
ProcessID=1628 : Parent_ProcessID=1163 : Average_Running_Time=.56511291608391608391
ProcessID=1642 : Parent_ProcessID=1163 : Average_Running_Time=.18892764062500000000
ProcessID=1643 : Parent_ProcessID=1163 : Average_Running_Time=.20798513177410154021
ProcessID=1644 : Parent_ProcessID=1163 : Average_Running_Time=.84607298393574297188
ProcessID=1646 : Parent_ProcessID=1163 : Average_Running_Time=.37871681524926686217
ProcessID=1648 : Parent_ProcessID=1163 : Average_Running_Time=.18196095570804741110
ProcessID=1650 : Parent_ProcessID=1163 : Average_Running_Time=.16968641716658975542
ProcessID=1652 : Parent_ProcessID=1163 : Average_Running_Time=.20710305415384615384
ProcessID=1653 : Parent_ProcessID=1163 : Average_Running_Time=.10977534862385321100
ProcessID=1657 : Parent_ProcessID=1163 : Average_Running_Time=.06478619047619047619
ProcessID=1658 : Parent_ProcessID=1163 : Average_Running_Time=.14177295454545454545
ProcessID=1661 : Parent_ProcessID=1163 : Average_Running_Time=.05822615673575129533
ProcessID=1664 : Parent_ProcessID=1163 : Average_Running_Time=.14276611926605504587
ProcessID=1670 : Parent_ProcessID=1163 : Average_Running_Time=.22981122058823529411
ProcessID=1672 : Parent_ProcessID=1163 : Average_Running_Time=.16155170000000000000
ProcessID=1673 : Parent_ProcessID=1163 : Average_Running_Time=.19415502141466580142
ProcessID=1674 : Parent_ProcessID=1163 : Average_Running_Time=.20916673846153846153
ProcessID=1689 : Parent_ProcessID=1163 : Average_Running_Time=.22481961051930758988
ProcessID=1772 : Parent_ProcessID=1163 : Average_Running_Time=.26633328358208955223
ProcessID=22432 : Parent_ProcessID=1163 : Average_Running_Time=.36580742350000000000
ProcessID=22493 : Parent_ProcessID=1163 : Average_Running_Time=.50494242688999547306
ProcessID=22501 : Parent_ProcessID=1163 : Average_Running_Time=.23732708333333333333
ProcessID=23116 : Parent_ProcessID=1163 : Average_Running_Time=.55166436486486486486
ProcessID=2884 : Parent_ProcessID=1163 : Average_Running_Time=.23348200000000000000
ProcessID=2886 : Parent_ProcessID=1163 : Average_Running_Time=.17546771428571428571
ProcessID=2915 : Parent_ProcessID=1163 : Average_Running_Time=.04889709778812572759
ProcessID=2923 : Parent_ProcessID=1163 : Average_Running_Time=.02603835932721712538
ProcessID=2935 : Parent_ProcessID=1163 : Average_Running_Time=.21382453337136337706
ProcessID=4279 : Parent_ProcessID=1163 : Average_Running_Time=.02450655175517551755
ProcessID=4283 : Parent_ProcessID=1163 : Average_Running_Time=.01607240000000000000
ProcessID=6312 : Parent_ProcessID=1163 : Average_Running_Time=.34961512500000000000
ProcessID=6317 : Parent_ProcessID=1163 : Average_Running_Time=.44263375000000000000
ProcessID=6994 : Parent_ProcessID=1163 : Average_Running_Time=.44328517129262490087
ProcessID=7044 : Parent_ProcessID=1163 : Average_Running_Time=.29499280000000000000
ProcessID=7075 : Parent_ProcessID=1163 : Average_Running_Time=.15265350000000000000
ProcessID=7076 : Parent_ProcessID=1163 : Average_Running_Time=.12498778160919540229
ProcessID=7252 : Parent_ProcessID=1163 : Average_Running_Time=.20650779480713810684
ProcessID=7516 : Parent_ProcessID=1163 : Average_Running_Time=.27539454545454545454
ProcessID=7542 : Parent_ProcessID=1163 : Average_Running_Time=.16346275000000000000
ProcessID=7544 : Parent_ProcessID=1163 : Average_Running_Time=.12236669879518072289
ProcessID=4723 : Parent_ProcessID=1190 : Average_Running_Time=.29481354545454545454
ProcessID=1204 : Parent_ProcessID=1199 : Average_Running_Time=.13754792240197240319
ProcessID=1362 : Parent_ProcessID=1199 : Average_Running_Time=.19461704571428571428
ProcessID=1961 : Parent_ProcessID=1214 : Average_Running_Time=.08239262307692307692
ProcessID=1454 : Parent_ProcessID=1362 : Average_Running_Time=.04198441735537190082
ProcessID=1482 : Parent_ProcessID=1477 : Average_Running_Time=.08181113704630788485
ProcessID=1663 : Parent_ProcessID=1502 : Average_Running_Time=.24853835294117647058
